"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:56 GMT 2024","3826","api tests","fixtures.spec.ts","Example tests with fixtures, auth","","","Check user id",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","0","api tests","example.spec.ts","example suite","","","Method test: put",""
"passed","Tue Jul 30 17:14:52 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","783","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking DELETE",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:54 GMT 2024","623","api tests","framework.spec.ts","Simple Api Tests","","","Checking POST",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","387","api tests","framework.spec.ts","Simple Api Tests","","","Get 500 test",""
"passed","Tue Jul 30 17:14:54 GMT 2024","Tue Jul 30 17:14:54 GMT 2024","561","api tests","framework.spec.ts","Simple Api Tests","","","Checking PUT",""
"passed","Tue Jul 30 17:14:51 GMT 2024","Tue Jul 30 17:14:52 GMT 2024","835","api tests","fixtures.spec.ts","Simple Api Tests","","","Get 500 test",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:54 GMT 2024","648","api tests","framework.spec.ts","Simple Api Tests","","","Checking DELETE",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","2","api tests","example.spec.ts","example suite","","","Hello test",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","0","api tests","example.spec.ts","example suite","","","Method test: post",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","684","api tests","framework.spec.ts","Simple Api Tests","","","Hello Test",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:57 GMT 2024","4145","api tests","fixtures.spec.ts","Example tests with fixtures, auth","","","Check user info by id",""
"passed","Tue Jul 30 17:14:52 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","705","api tests","fixtures.spec.ts","Simple Api Tests","","","Hello Test",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","0","api tests","example.spec.ts","auth tests","","","auth user check id",""
"passed","Tue Jul 30 17:14:54 GMT 2024","Tue Jul 30 17:14:56 GMT 2024","1149","api tests","framework.spec.ts","Auth Api Tests","","","Check user info by id",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","696","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking PATCH",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","1","api tests","example.spec.ts","example suite","","","Method test: delete",""
"passed","Tue Jul 30 17:14:54 GMT 2024","Tue Jul 30 17:14:55 GMT 2024","501","api tests","framework.spec.ts","Auth Api Tests","","","Check user id",""
"passed","Tue Jul 30 17:14:52 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","869","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking GET",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","0","api tests","example.spec.ts","auth tests","","","user info by id",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","1","api tests","example.spec.ts","example suite","","","Method test: patch",""
"passed","Tue Jul 30 17:14:53 GMT 2024","Tue Jul 30 17:14:54 GMT 2024","551","api tests","framework.spec.ts","Simple Api Tests","","","Checking GET",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","0","api tests","example.spec.ts","example suite","","","Method test: get",""
"passed","Tue Jul 30 17:14:52 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","802","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking POST",""
"skipped","Tue Jul 30 17:14:48 GMT 2024","Tue Jul 30 17:14:48 GMT 2024","1","api tests","example.spec.ts","example suite","","","Status 500 test",""
"passed","Tue Jul 30 17:14:52 GMT 2024","Tue Jul 30 17:14:53 GMT 2024","638","api tests","fixtures.spec.ts","Simple Api Tests","","","Checking PUT",""
"passed","Tue Jul 30 17:14:54 GMT 2024","Tue Jul 30 17:14:54 GMT 2024","542","api tests","framework.spec.ts","Simple Api Tests","","","Checking PATCH",""
